"Palabra clave",Dificultad,Posición,"Posición anterior","Posición de las Funciones SERP","Vol. de búsqueda","Intención de búsqueda","Funciones SERP",Competencia,CPC,URL,Tráfico,"Cuota del tráfico","Coste del tráfico"
"absentismo o ausentismo",7,1,,"Vistas creadas con IA",480,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/absentismo-laboral,5,0.65,0
"insatisfaccion laboral",4,1,1,"Vistas creadas con IA",320,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Panel de información, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/insatisfaccion-laboral,4,0.52,0
"clima laboral",12,1,1,"Vistas creadas con IA",480,I,"Vídeo, Preguntas relacionadas, Panel de información, Vistas creadas con IA",0.06,0.94,https://www.openhr.cloud/blog/clima-laboral,4,0.52,3.77
"openhr app",8,4,4,,140,"L, C","Reseñas, Preguntas relacionadas, GBP, Búsquedas relacionadas",0.44,0.45,https://www.openhr.cloud/,4,0.52,1.78
"ejemplos de organigramas de empresas",5,19,18,,320,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,4,0.52,0
"que es clima laboral",7,26,20,,90,"I, N","Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Infracción de copyright, Vistas creadas con IA, Búsquedas relacionadas",0.04,0.01,https://www.openhr.cloud/blog/clima-laboral,4,0.52,0.03
"que es el clima laboral",7,24,21,,90,"I, N","Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Infracción de copyright, Vistas creadas con IA, Búsquedas relacionadas",0.04,0.01,https://www.openhr.cloud/blog/clima-laboral,4,0.52,0.03
"organigramas ejemplo",5,1,,"Vistas creadas con IA",480,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,4,0.52,0
"ejemplos organigramas de empresas",6,18,17,,320,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,4,0.52,0
"organigrama de una empresa ejemplos",5,9,14,,320,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,4,0.52,0
"partes de trabajo modelo",3,8,8,,210,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.23,0.68,https://www.openhr.cloud/blog/partes-de-trabajo,4,0.52,2.72
"organigramas rrhh",5,3,,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/organigrama-de-empresa,4,0.52,0
"openhr empleado",16,2,2,,40,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.23,0,https://www.openhr.cloud/es/portal-del-empleado,4,0.52,0
"formacion bonificada",35,6,75,,180,I,"Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.48,0.96,https://www.openhr.cloud/blog/formaci%C3%B3n-bonificada,3,0.39,2.88
"compensacion y beneficios",4,3,3,,90,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.41,5.03,https://www.openhr.cloud/blog/compensacion-beneficios-que-es-y-su-importancia,3,0.39,15.09
"partes de trabajo diario",7,9,6,,210,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.63,0.31,https://www.openhr.cloud/blog/partes-de-trabajo,3,0.39,0.94
"procesos de seleccion",5,21,34,,590,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.02,0.03,https://www.openhr.cloud/blog/seleccion-personal,3,0.39,0.08
"comunicación interna",20,1,,"Vistas creadas con IA",360,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0.04,1.21,https://www.openhr.cloud/blog/comunicacion-interna,3,0.39,3.62
"evaluacion por objetivos",12,2,2,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/evaluacion-de-objetivos-que-es-y-como-llevarla-a-cabo-en-tu-empresa,3,0.39,0
"que es la insatisfacción laboral",4,3,4,,70,I,"Fragmentos destacados, Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/insatisfaccion-laboral,3,0.39,0
"open rh",17,1,1,"Enlaces del sitio",10,"L, N","Reseñas, Enlaces del sitio, Vídeo, Preguntas relacionadas, GBP, Búsquedas relacionadas",0.41,0.47,https://www.openhr.cloud/,3,0.39,1.41
"que es la comunicacion interna",8,4,5,,90,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.03,0.06,https://www.openhr.cloud/blog/comunicacion-interna,3,0.39,0.18
"portal del empleado foodbox",17,1,1,,10,I,"Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,3,0.39,0
"parte de trabajo ejemplos",2,4,6,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.02,0,https://www.openhr.cloud/blog/partes-de-trabajo,3,0.39,0
"desempeño laboral",17,1,,"Vistas creadas con IA",320,I,"Vídeo, Preguntas relacionadas, Imágenes, Panel de información, Vistas creadas con IA",0.04,0,https://www.openhr.cloud/blog/desempeno-laboral,3,0.39,0
"comunicacion internas",20,3,,"Preguntas relacionadas",360,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0.04,1.21,https://www.openhr.cloud/blog/comunicacion-interna,3,0.39,3.62
"comunicacion interna que es",8,5,5,,90,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.03,0.06,https://www.openhr.cloud/blog/comunicacion-interna,3,0.39,0.18
offboarding,12,1,1,"Vistas creadas con IA",390,I,"Vídeo, Preguntas relacionadas, Imágenes, Panel de información, Vistas creadas con IA",0,0,https://www.openhr.cloud/blog/offboarding,3,0.39,0
"organigrama de una empresa ejemplo",5,9,16,,320,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,3,0.39,0
"ejemplos de un organigrama",5,12,17,,320,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,3,0.39,0
"que es comunicacion interna",8,4,5,,90,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.03,0.06,https://www.openhr.cloud/blog/comunicacion-interna,3,0.39,0.18
"beneficios y compensaciones",4,4,4,,90,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.41,5.03,https://www.openhr.cloud/blog/compensacion-beneficios-que-es-y-su-importancia,3,0.39,15.09
"open hr la rinconada",8,2,2,,70,"I, N","Enlaces del sitio, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.02,0,https://www.openhr.cloud/es/portal-del-empleado,3,0.39,0
"portal del.empleado",12,5,66,Reseñas,100,I,"Reseñas, Vídeo",0,0.5,https://www.openhr.cloud/es/portal-del-empleado,3,0.39,1.49
"reuniones one to one ventajas y desventajas",7,1,1,,10,I,"Reseñas, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/reuniones-one-to-one-que-son-y-consejos-para-implementarlas,3,0.39,0
"satisfaccion laboral",12,1,1,"Vistas creadas con IA",170,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0.02,0,https://www.openhr.cloud/blog/satisfaccion-laboral,2,0.26,0
"comunicacion interna en la empresa",5,12,14,,390,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.13,0.19,https://www.openhr.cloud/blog/comunicacion-interna,2,0.26,0.38
"recursos humanos definicion",18,5,6,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,2,0.26,0
"insatisfaccion laboral",4,3,,"Preguntas relacionadas",320,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Panel de información, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/insatisfaccion-laboral,2,0.26,0
"evaluacion 360",12,19,,Imágenes,390,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0.32,1.68,https://www.openhr.cloud/blog/evaluacion-360-grados,2,0.26,3.35
"turnos rotativos",5,10,30,,590,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.18,0.93,https://www.openhr.cloud/blog/turnos-rotativos-ventajas-y-desventajas,2,0.26,1.87
"turno rotativo",4,1,,"Vistas creadas con IA",320,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.05,0.83,https://www.openhr.cloud/blog/turnos-rotativos-ventajas-y-desventajas,2,0.26,1.66
"turno rotativo",4,24,23,,320,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.05,0.83,https://www.openhr.cloud/blog/turnos-rotativos-ventajas-y-desventajas,2,0.26,1.66
"recurso humanos definicion",18,5,6,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,2,0.26,0
"evaluaciones 360",12,21,,Imágenes,390,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0.32,1.68,https://www.openhr.cloud/blog/evaluacion-360-grados,2,0.26,3.35
"dep recursos humanos",12,1,,"Vistas creadas con IA",170,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.09,1.1,https://www.openhr.cloud/blog/departamento-recursos-humanos,2,0.26,2.2
"portal del empleado ocaso",45,28,,Imágenes,1600,"I, N","Reseñas, Enlaces del sitio, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,2,0.26,0
"employer branding",11,2,40,Imágenes,810,I,"Vídeo, Preguntas relacionadas, Imágenes",0.08,0.24,https://www.openhr.cloud/blog/9-claves-para-implantar-una-estrategia-de-employer-branding,2,0.26,0.49
"portal del colaborador",10,17,93,Reseñas,210,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,2,0.26,0
"programa recursos humanos",40,21,21,,90,I,"Reseñas, Preguntas relacionadas, Búsquedas relacionadas",0.65,7.29,https://www.openhr.cloud/,2,0.26,14.58
"que es un parte de trabajo",4,4,4,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/partes-de-trabajo,2,0.26,0
"plantilla de turnos de trabajo",5,23,49,,70,I,"Reseñas, Vídeo, Búsquedas relacionadas, Imagen",0.55,1.03,https://lp.openhr.cloud/plantilla-horarios-y-turnos,2,0.26,2.06
"excel vacaciones empleados",10,20,31,,140,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0.53,0.93,https://lp.openhr.cloud/es/plantilla-excel-vacaciones,2,0.26,1.85
"seleccion y reclutamiento de personal",7,1,,"Vistas creadas con IA",170,I,"Reseñas, Preguntas relacionadas, Imágenes, Anuncios al final, Vistas creadas con IA, Búsquedas relacionadas",0.18,2.38,https://www.openhr.cloud/blog/seleccion-y-reclutamiento-de-personal,2,0.26,4.77
"hr software",27,15,13,,260,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.62,4.98,https://www.openhr.cloud/,2,0.26,9.96
"comunicaciones interna",8,25,6,,360,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.04,1.21,https://www.openhr.cloud/blog/comunicacion-interna,2,0.26,2.41
"interbus portal del empleado",13,8,19,,110,I,"Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,2,0.26,0
"portal del empleado grupo interbus",8,7,17,Reseñas,90,I,"Reseñas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,2,0.26,0
"partes de trabajo pdf",8,20,23,,70,I,"Reseñas, Búsquedas relacionadas",0.03,0,https://www.openhr.cloud/blog/partes-de-trabajo,2,0.26,0
"comunicacion interna empresa",7,25,14,,390,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.13,0.19,https://www.openhr.cloud/blog/comunicacion-interna,2,0.26,0.38
"software de gestion de vacaciones",9,11,44,Reseñas,110,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",1,0,https://www.openhr.cloud/es/ausencias-y-vacaciones,2,0.26,0
"que es organigrama de una empresa",12,2,2,Imágenes,320,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.02,0.01,https://www.openhr.cloud/blog/organigrama-de-empresa,2,0.26,0.02
"que es un organigrama de una empresa",12,23,,Imágenes,320,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.02,0.01,https://www.openhr.cloud/blog/organigrama-de-empresa,2,0.26,0.02
"que es un organigrama de una empresa",12,2,16,Imágenes,320,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.02,0.01,https://www.openhr.cloud/blog/organigrama-de-empresa,2,0.26,0.02
"hr software cloud",66,4,4,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/,2,0.26,0
"organigrama de la empresa comercial",5,4,25,,50,"I, N","Reseñas, Vídeo, Preguntas relacionadas, Infracción de copyright, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,2,0.26,0
"modelo evaluacion de desempeño",30,13,13,,50,"I, N","Reseñas, Vídeo, Imágenes, Infracción de copyright, Búsquedas relacionadas",0.14,0.55,https://www.openhr.cloud/blog/evaluacion-del-desempeno,2,0.26,1.1
"recursos humanos departamento",9,1,,"Vistas creadas con IA",170,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.09,1.1,https://www.openhr.cloud/blog/departamento-recursos-humanos,2,0.26,2.2
"sobre que conceptos se aplica la subida salarial",4,1,,"Vistas creadas con IA",210,I,"Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/incremento-salarial,2,0.26,0
"sobre que conceptos se aplica la subida salarial",4,8,8,,210,I,"Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/incremento-salarial,2,0.26,0
"herramientas rrhh",8,2,2,,20,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.71,2.77,https://www.openhr.cloud/blog/las-10-imprescindibles-herramientas-de-recursos-humanos,2,0.26,5.54
"organigrama de empresa comercial",5,11,46,,50,"I, N","Reseñas, Vídeo, Preguntas relacionadas, Infracción de copyright, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,2,0.26,0
"organigramas de empresas comerciales",5,12,22,,50,"I, N","Reseñas, Vídeo, Preguntas relacionadas, Infracción de copyright, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,2,0.26,0
"definicion clima laboral",12,25,25,,50,"I, N","Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Infracción de copyright, Vistas creadas con IA, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/clima-laboral,2,0.26,0
"organigramas ejemplo",5,15,22,,480,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,2,0.26,0
"desempeños laborales",11,15,13,,320,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.04,0,https://www.openhr.cloud/blog/desempeno-laboral,2,0.26,0
"organigrama y ejemplos",5,18,24,,480,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,2,0.26,0
"definición recurso humano",23,5,6,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,2,0.26,0
"reclutamiento de seleccion de personal",7,1,,"Vistas creadas con IA",170,I,"Reseñas, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.18,2.38,https://www.openhr.cloud/blog/seleccion-y-reclutamiento-de-personal,2,0.26,4.77
"openhr login",3,6,3,,110,I,"Reseñas, Vídeo, Búsquedas relacionadas",0.05,0,https://www.openhr.cloud/en/employees-portal,2,0.26,0
"openhr login",3,14,12,,110,I,"Reseñas, Vídeo, Búsquedas relacionadas",0.05,0,https://lp.openhr.cloud/portal-del-empleado,2,0.26,0
"openhr login",3,18,10,,110,I,"Reseñas, Vídeo, Búsquedas relacionadas",0.05,0,https://www.openhr.cloud/en/app-openhr,2,0.26,0
"recursos humanos herramientas",8,3,3,,30,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.81,2.88,https://www.openhr.cloud/blog/las-10-imprescindibles-herramientas-de-recursos-humanos,2,0.26,5.76
"openhr la rinconada",4,8,8,,480,"I, N","Enlaces del sitio, Preguntas relacionadas, Búsquedas relacionadas",0.04,0.48,https://www.openhr.cloud/es/app-openhr,2,0.26,0.96
"extranet nóminas",12,28,,Reseñas,210,I,"Reseñas, Imágenes, Búsquedas relacionadas",0.03,0,https://www.openhr.cloud/es/portal-del-empleado,2,0.26,0
"portal del empleado aldeas infantiles",19,23,23,,30,I,"Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,2,0.26,0
"openhr empleado",16,3,3,,40,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.23,0,https://www.openhr.cloud/,2,0.26,0
"open hr app",0,1,99,"GBP, Reseñas",140,"L, C","Reseñas, GBP",0.44,0.45,http://www.openhr.cloud/,2,0.26,0.89
"job hoppers",4,1,,"Vistas creadas con IA",170,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/job-hopping,2,0.26,0
"cloud software hr",50,4,4,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/,2,0.26,0
"openhr descargar",11,4,4,,50,I,"Reseñas, Búsquedas relacionadas",0.41,0.47,https://www.openhr.cloud/,2,0.26,0.94
"openhr descargar",11,5,5,,50,I,"Reseñas, Búsquedas relacionadas",0.41,0.47,https://www.openhr.cloud/es/portal-del-empleado,2,0.26,0.94
"organigrama de un empresa",7,22,24,,50,I,"Reseñas, Vídeo, Búsquedas relacionadas",0.01,0.09,https://www.openhr.cloud/blog/organigrama-de-empresa,2,0.26,0.17
"organigrama empresa pequeña",8,13,13,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/organigrama-de-empresa,1,0.13,0
"organigrama de empresa",5,17,56,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.01,0.09,https://www.openhr.cloud/blog/organigrama-de-empresa,1,0.13,0.09
"organigrama de empresas",4,10,17,,50,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.01,0.09,https://www.openhr.cloud/blog/organigrama-de-empresa,1,0.13,0.09
"portal de personal",27,27,67,Reseñas,150,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,1,0.13,0
"recursos humanos definicion",18,1,,"Vistas creadas con IA",70,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.01,0,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,1,0.13,0
"recursos humanos en una empresa",13,11,,,140,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.21,1.01,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,1,0.13,1.01
"recurso humano",35,9,11,,140,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Panel de información, Vistas creadas con IA, Búsquedas relacionadas",0.31,1.45,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,1,0.13,1.45
"rrhh significado",21,20,15,,210,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,1,0.13,0
"mobbing definicion",14,1,,"Vistas creadas con IA",90,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Encontrar resultados en, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/acoso-laboral,1,0.13,0
"organigramas online",10,13,12,Reseñas,50,I,"Reseñas, Vídeo, Imágenes, Anuncios al final, Búsquedas relacionadas",0.41,0.03,https://www.openhr.cloud/es/organigrama-corporativo,1,0.13,0.03
"evaluacion de desempeño laboral ejemplos",12,23,,,90,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.25,0.44,https://www.openhr.cloud/blog/evaluacion-del-desempeno,1,0.13,0.44
"evaluacion de desempeño laboral ejemplo",12,25,23,,90,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.25,0.44,https://www.openhr.cloud/blog/evaluacion-del-desempeno,1,0.13,0.44
